id;Nome_comune;Nome_scientifico;diametro;multifusto;altezza;stato;Lat;Lon
1460;Platano;platanus;160;;1;;12.293.233.086.122.500;5.687.709.607.534.050
1459;Olmo;Ulmus minor;92;;1;;12.293.176.977.267.100;5.687.701.657.808.470
1463;acero campestre;Acer campestre;27;;1;;12.293.178.521.587.100;5.687.691.701.136.160
1464;Olmo;Ulmus minor;32;;1;;1.229.318.890.670.400;5.687.687.758.836.600
1465;Bagolaro orientale;Celtis orientalis;58;;1;;12.293.147.018.808.800;5.687.682.889.246.370
1466;Olmo;Ulmus minor;51;;1;;1.229.322.800.021.940;5.687.684.803.896.270
1467;Olmo;Ulmus minor;46;;1;;1.229.330.507.020.130;5.687.685.063.244.400
1469;bagolaro;Celtis australis;26;;1;;12.293.322.686.370.100;5.687.679.830.911.540
1468;Tiglio;Tilia cordata;22;;1;;12.293.252.640.008.600;5.687.679.356.830.160
1458;Olmo;Ulmus minor;71;;1;;12.293.192.669.647.600;568.770.904.157.775
1456;Olmo;Ulmus minor;49;;1;;12.293.134.866.140.700;5.687.711.962.635.940
1457;bagolaro;Celtis australis;23;;1;;12.293.123.773.411.300;568.770.668.821.592
1455;Bagolaro orientale;Celtis orientalis;27;;1;;12.293.146.915.956.100;568.771.780.567.941
1450;Cedro dellâ€™Himalaya;Cedrus deodara;112;;1;;12.293.044.304.354.100;5.687.717.169.846.380
1453;Frassino;Fraxinus;30;;1;;12.293.099.780.906.800;5.687.711.481.005.750
1452;Carpino bianco;carpinus betulus;43;;1;;12.293.069.205.195.500;5.687.715.964.257.810
1451;bagolaro;Celtis australis;22;;1;;12.293.045.708.065.400;5.687.722.713.709.790
1856;bagolaro;Celtis australis;95;;1;;12.293.134.029.893.400;5.688.032.987.544.530
1863;bagolaro;Celtis australis;95;;1;;12.293.048.558.363.300;5.688.051.887.901.150
1864;Tasso;Taxus baccata;24;;1;;12.293.028.378.434.800;5.688.065.318.962.450
1865;Carpino bianco;carpinus betulus;41;;1;;12.293.019.293.434.200;5.688.074.397.851.790
1857;bagolaro;Celtis australis;23;;1;;12.293.113.679.230.800;5.688.039.321.300.150
1854;carpino nero;Ostrya carpinifolia;32;;1;;12.293.190.741.802.200;568.803.261.129.074
1853;carpino nero;Ostrya carpinifolia;52;;1;;12.293.153.580.433.700;5.688.026.514.520.300
1850;carpino nero;Ostrya carpinifolia;40;;1;;12.293.273.696.320.200;5.687.998.926.943.090
1846;Frassino;Fraxinus;24;;1;;12.293.344.729.200.800;568.799.205.488.786
1845;Bagolaro orientale;Celtis orientalis;43;;1;;12.293.365.494.843.400;5.687.989.461.675.290
1842;Bagolaro orientale;Celtis orientalis;31;;1;;12.293.381.307.656.900;5.687.985.275.221.720
1841;Ippocastano;Aesculus  hippocastanum;30;;1;;12.293.423.571.468.700;56.879.785.374.188.500
1837;Cedro dellâ€™Himalaya;Cedrus deodara;66;;1;;1.229.319.876.985.530;5.687.966.203.553.420
1840;robinia;Robinia pseudoacacia;48;;1;;1.229.334.418.465.160;5.687.981.489.691.370
1839;Bagolaro orientale;Celtis orientalis;27;;1;;12.293.285.796.468.200;5.687.975.089.802.830
1844;Carpino bianco;carpinus betulus;25;;1;;1.229.329.009.625.180;5.687.985.229.630.750
1843;Carpino bianco;carpinus betulus;26;;1;;12.293.332.628.339.400;5.687.984.711.476.980
1835;Frassino;Fraxinus;30;;1;;12.293.329.958.759.500;5.687.965.766.322.860
1836;Bagolaro orientale;Celtis orientalis;27;;1;;12.293.356.446.283.400;5.687.975.836.834.450
1847;carpino nero;Ostrya carpinifolia;20;;1;;12.293.216.842.704.700;5.687.992.583.795.440
1829;bagolaro;Celtis australis;89;;1;;1.229.350.305.695.380;5.687.868.406.829.030
1828;bagolaro;Celtis australis;22;;1;;12.293.468.187.389.600;5.687.862.669.350.280
1826;acero campestre;Acer campestre;26;;1;;1.229.345.336.902.400;568.785.552.797.566
1825;acero campestre;Acer campestre;27;;1;;12.293.511.045.871.700;56.878.509.097.417.000
1827;Frassino;Fraxinus;34;;1;;12.293.324.661.494.700;5.687.867.440.630.040
1824;Bagolaro orientale;Celtis orientalis;62;;1;;12.293.384.983.889.000;5.687.849.611.317.030
1830;Olmo;Ulmus minor;48;;1;;1.229.344.526.253.630;5.687.887.732.498.100
1793;Sophora;Sophora japonica;49;;1;;12.293.363.905.757.800;5.687.897.241.284.970
1794;Sophora;Sophora japonica;56;;1;;12.293.444.395.168.400;5.687.886.142.781.160
1795;carpino nero;Ostrya carpinifolia;25;;2;;12.293.288.565.901.400;5.687.909.047.189.430
1796;Bagolaro orientale;Celtis orientalis;55;;1;;12.293.253.900.864.700;568.791.605.302.004
1799;cipresso;cupressus;30;;1;;1.229.316.681.020.860;5.687.923.624.050.110
1801;cipresso;cupressus;83;;1;;12.293.235.955.317.900;568.794.741.287.605
1802;Bagolaro orientale;Celtis orientalis;15;;1;;12.293.138.038.311.700;56.879.428.491.325.600
1800;Bagolaro orientale;Celtis orientalis;35;;1;;122.932.611.778.951;568.792.762.483.634
1803;robinia;Robinia pseudoacacia;46;;1;;12.293.298.081.464.500;5.687.935.235.856.910
1804;Bagolaro orientale;Celtis orientalis;21;;1;;12.293.439.256.270.400;5.687.944.283.987.420
1834;Bagolaro orientale;Celtis orientalis;53;;1;;12.293.424.083.950.000;5.687.955.009.920.600
1833;Olmo;Ulmus minor;31;;1;;12.293.538.237.545.400;56.879.400.040.629
1832;Olmo;Ulmus minor;45;;1;;12.293.464.488.897.100;5.687.928.030.989.180
1426;Bagolaro orientale;Celtis orientalis;38;;1;;12.293.794.965.831.600;5.687.808.642.759.770
1805;Bagolaro orientale;Celtis orientalis;16;;2;;12.293.486.397.476.900;5.687.816.211.196.440
1862;Ligustro;Ligustrum lucidum;28;;1;;12.292.828.442.067.700;56.880.572.922.108.900
1861;Alloro;Laurus nobilis;22;;1;;1.229.288.631.939.300;5.688.056.746.010.550
1860;Alloro;Laurus nobilis;16;;1;;12.292.902.009.429.900;5.688.052.798.892.720
1858;Olmo;Ulmus minor;35;;1;;12.292.937.826.486.500;5.688.037.318.320.670
1859;Carpino bianco;carpinus betulus;18;;1;;12.292.853.008.283.200;5.688.028.763.421.100
1855;Frassino;Fraxinus;22;;1;;12.292.977.930.009.400;5.688.026.212.384.480
1852;carpino nero;Ostrya carpinifolia;26;;1;;1.229.305.948.575.590;568.801.543.844.849
1851;Carpino bianco;carpinus betulus;37;;1;;12.293.083.599.753.200;5.688.000.899.385.460
1849;carpino nero;Ostrya carpinifolia;32;;1;;12.293.177.214.578.100;5.688.000.270.760.520
1439;Carpino bianco;carpinus betulus;80;;1;;12.293.568.595.283.700;5.687.775.439.164.810
1414;Carpino bianco;carpinus betulus;85;;1;;1.229.354.120.148.220;5.687.777.030.224.410
1413;Carpino bianco;carpinus betulus;38;;1;;12.293.550.636.091.900;5.687.781.855.064.560
1412;bagolaro;Celtis australis;31;;1;;12.293.549.185.578.500;5.687.786.105.507.710
1411;Carpino bianco;carpinus betulus;41;;1;;1.229.355.591.036.060;5.687.790.208.341.730
1431;Bagolaro orientale;Celtis orientalis;14;;3;;12.293.666.078.323.500;5.687.793.667.142.260
1410;bagolaro;Celtis australis;20;;1;;12.293.540.361.860.200;568.779.367.073.427
1409;bagolaro;Celtis australis;22;;1;;12.293.537.434.419.500;5.687.799.572.941.680
1408;acero campestre;Acer campestre;42;;1;;12.293.489.719.710.900;568.780.324.411.039
1407;bagolaro;Celtis australis;76;;1;;12.293.445.334.616.500;5.687.795.117.296.170
1406;bagolaro;Celtis australis;18;5F;2;;1.229.343.477.024.550;5.687.778.347.395.650
1404;acero campestre;Acer campestre;12;;2;;12.293.386.861.949.000;56.877.887.377.759
1405;Olmo;Ulmus minor;23;;1;;1.229.337.735.523.420;5.687.783.627.885.000
1403;acero campestre;Acer campestre;13;;2;;12.293.335.680.021.400;5.687.793.685.457.260
1402;acero campestre;Acer campestre;18;;2;;12.293.304.338.914.900;5.687.787.173.384.180
1401;Bagolaro orientale;Celtis orientalis;22;;1;;12.293.328.501.650.100;56.877.828.016.594.500
1392;Frassino;Fraxinus;33;;1;;12.293.274.132.208.500;5.687.780.151.349.070
1393;faggio;Fagus sylvatica;11;;3;;12.293.210.202.288.400;56.877.746.731.174.300
1391;bagolaro;Celtis australis;48;2F;1;;122.931.665.798.192;5.687.780.615.202.670
1394;Pino dellâ€™Himalaya;Pino wallichiana;59;;1;Abbattimento;12.293.207.677.895.800;5.687.759.714.286.550
1395;Pino dellâ€™Himalaya;Pino wallichiana;27;;1;;12.293.333.905.828.500;56.877.622.371.634.100
1396;Pino dellâ€™Himalaya;Pino wallichiana;33;;1;;12.293.346.377.388.100;5.687.772.313.542.220
1397;Tiglio;Tilia cordata;31;;1;;12.293.425.492.104.900;5.687.774.140.153.030
1398;Pino dellâ€™Himalaya;Pino wallichiana;63;;1;;12.293.376.056.528.900;5.687.766.026.236.890
1400;Pino dellâ€™Himalaya;Pino wallichiana;35;;1;;12.293.404.668.316.900;5.687.759.266.275.280
1415;Frassino;Fraxinus;20;;1;;12.293.552.506.926.500;5.687.765.544.714.010
1416;Frassino;Fraxinus;18;;1;;12.293.559.587.691.700;5.687.748.603.116.820
1419;acero campestre;Acer campestre;31;;1;;1.229.351.044.196.380;5.687.734.150.098.960
1420;Ippocastano;Aesculus  hippocastanum;58;;1;;1.229.348.775.853.960;56.877.219.114.580.100
1449;Thuja;Thuja;15;;1;;12.293.631.804.364.600;5.687.719.452.556.950
1417;Tiglio;Tilia cordata;79;;1;;12.293.365.869.888.000;5.687.747.005.294.390
1399;acero campestre;Acer campestre;12;;3;;12.293.427.739.556.100;5.687.754.326.887.420
1418;Cipresso dellâ€™Himalaya;Cupressus torulosa;28;;1;;12.293.168.700.524.500;5.687.763.074.137.080
1424;bagolaro;Celtis australis;40;;1;;12.293.127.863.891.600;5.687.738.033.375.310
1423;Tiglio;Tilia cordata;23;;1;;12.293.106.570.520.500;5.687.733.404.878.400
1422;Carpino bianco;carpinus betulus;49;;1;;12.293.196.756.353.800;5.687.725.315.397.250
1421;Carpino bianco;carpinus betulus;34;;1;;12.293.268.873.977.200;5.687.718.222.728.910
1440;Tiglio;Tilia cordata;58;;1;;12.293.658.284.012.200;568.777.411.712.596
1441;Bagolaro orientale;Celtis orientalis;33;;1;;12.293.711.354.013.800;5.687.771.636.605.190
1442;acero campestre;Acer campestre;32;;1;;12.293.659.505.154.900;5.687.763.972.548.570
1443;acero campestre;Acer campestre;42;;1;;12.293.749.952.245.900;5.687.761.903.805.410
1444;Bagolaro orientale;Celtis orientalis;35;;1;;12.293.692.624.306.600;5.687.757.549.699.710
1445;acero campestre;Acer campestre;36;;1;;12.293.740.872.401.900;5.687.753.563.392.030
1447;bagolaro;Celtis australis;30;;1;;12.293.730.340.113.000;5.687.744.333.046.620
1446;bagolaro;Celtis australis;34;;1;;1.229.383.034.685.710;5.687.752.571.518.680
1448;Bagolaro orientale;Celtis orientalis;37;;1;;12.293.796.240.378.400;5.687.737.636.475.900
1430;Ippocastano;Aesculus  hippocastanum;25;;1;;1.229.371.390.402.180;5.687.789.187.534.980
1432;Tiglio;Tilia cordata;12;;2;;12.293.727.772.642.300;5.687.784.081.433.410
1427;Frassino;Fraxinus;35;;1;;12.293.621.534.293.200;5.687.803.621.130.740
1425;carpino nero;Ostrya carpinifolia;44;;1;;122.936.830.412.209;5.687.807.013.842.180
1428;Loto americano;Diospyros virginiana;28;;1;;12.293.806.762.774.400;5.687.801.627.642.700
1429;bagolaro;Celtis australis;48;;1;;12.293.827.341.028.500;5.687.793.081.670.850
1433;acero campestre;Acer campestre;22;;1;;1.229.382.036.501.990;5.687.785.493.343.140
1434;acero campestre;Acer campestre;26;;1;;12.293.802.468.579.300;5.687.782.179.608.830
1435;Bagolaro orientale;Celtis orientalis;45;;1;;12.293.777.178.215.200;5.687.777.109.969.420
1436;Bagolaro orientale;Celtis orientalis;22;;1;;12.293.835.330.981.300;5.687.774.743.248.840
1437;Bagolaro orientale;Celtis orientalis;18;;1;;12.293.842.891.762.200;5.687.767.181.255.440
1438;Bagolaro orientale;Celtis orientalis;12;;1;;12.293.842.132.859.700;5.687.759.196.792.770
1582;bagolaro;Celtis australis;95;;1;;12.293.910.478.762.200;5.687.802.060.417.410
1809;Carpino bianco;carpinus betulus;27;;1;;12.293.622.683.709.400;5.687.810.653.870.520
1807;bagolaro;Celtis australis;22;;1;;12.293.545.530.973.200;568.781.782.286.134
1743;Carpino bianco;carpinus betulus;38;;1;;12.293.817.301.400.200;5.687.815.798.883.880
1744;Bagolaro orientale;Celtis orientalis;22;;1;;1.229.380.157.085.600;5.687.821.036.521.250
1745;Carpino bianco;carpinus betulus;29;;1;;12.293.710.661.187.700;5.687.816.292.628.240
1817;Bagolaro orientale;Celtis orientalis;19;;1;;1.229.365.849.027.020;5.687.814.841.030.940
1746;Olmo;Ulmus minor;12;;2;;12.293.740.437.566.300;56.878.241.080.806
1810;Bagolaro orientale;Celtis orientalis;23;;2;;12.293.605.893.264.800;5.687.819.190.197.190
1811;Carpino bianco;carpinus betulus;45;;1;;12.293.639.258.011.400;5.687.818.724.825.950
1812;acero campestre;Acer campestre;23;;2;;12.293.596.882.733.900;5.687.823.523.316.690
1813;Tiglio;Tilia cordata;28;;1;;12.293.645.399.656.700;5.687.823.019.314.450
1818;Bagolaro orientale;Celtis orientalis;22;;1;;12.293.647.314.443.400;5.687.828.085.196.350
1814;Loto americano;Diospyros virginiana;40;;1;;1.229.359.732.625.700;5.687.827.768.950.440
1819;Frassino;Fraxinus;30;;1;;12.293.565.689.388.200;568.783.006.806.808
1823;bagolaro;Celtis australis;52;;1;;1.229.341.787.325.100;5.687.845.086.757.730
1822;Bagolaro orientale;Celtis orientalis;23;;1;;1.229.349.632.572.540;5.687.843.048.599.600
1816;Tiglio;Tilia cordata;18;;1;;12.293.458.595.323.400;5.687.841.243.248.450
1821;bagolaro;Celtis australis;43;;1;;12.293.508.188.225.300;568.783.750.389.294
1820;Frassino;Fraxinus;23;;1;;12.293.522.458.085.900;5.687.833.981.359.160
1747;carpino nero;Ostrya carpinifolia;32;;1;;1.229.383.265.012.300;5.687.829.007.114.000
1753;bagolaro;Celtis australis;43;;1;;122.935.972.063.342;5.687.844.756.334.840
1752;Olmo;Ulmus minor;18;;1;;12.293.628.479.920.100;5.687.838.528.290.280
1749;Carpino bianco;carpinus betulus;20;;1;;12.293.757.161.184.300;5.687.837.756.510.970
1748;Sophora;Sophora japonica;51;;1;;12.293.831.279.958.800;5.687.833.574.297.830
1750;Tiglio;Tilia cordata;30;;1;;12.293.752.323.811.400;56.878.436.002.327.400
1751;bagolaro;Celtis australis;33;;1;;12.293.755.383.413.500;5.687.850.691.517.890
1754;Bagolaro orientale;Celtis orientalis;35;;1;;12.293.563.669.699.800;5.687.849.532.303.660
1759;Cipresso dellâ€™Himalaya;Cupressus torulosa;68;;1;;12.293.567.407.632.000;5.687.864.291.424.410
1755;Bagolaro orientale;Celtis orientalis;25;;1;;12.293.729.535.258.500;5.687.855.891.586.170
1756;Bagolaro orientale;Celtis orientalis;19;;1;;12.293.683.917.283.200;56.878.628.534.517
1757;bagolaro;Celtis orientalis;53;;1;;12.293.555.665.789.100;56.878.877.737.731.200
1758;Bagolaro orientale;Celtis orientalis;21;;1;;12.293.554.359.657.000;5.687.892.594.362.880
1760;bagolaro;Celtis australis;42;;1;;12.293.532.058.698.900;5.687.896.834.630.290
1761;Bagolaro orientale;Celtis orientalis;32;;1;;12.293.531.886.900.800;5.687.901.145.252.330
1762;Tiglio;Tilia cordata;37;;1;;12.293.484.556.675.500;5.687.906.336.724.760
1763;Olmo;Ulmus minor;33;;1;;12.293.485.743.801.200;5.687.911.024.197.880
1769;quercia;Quercus robur;115;;1;;12.293.537.421.264.500;5.687.965.403.839.250
1770;robinia;Robinia pseudoacacia;43;;1;;12.293.478.725.357.400;5.687.978.103.824.110
1838;Cedro dellâ€™Himalaya;Cedrus deodara;38;;1;;12.293.227.727.370.700;568.796.986.970.222
1848;Cedro dellâ€™Himalaya;Cedrus deodara;40;;1;;12.293.179.998.794.100;5.687.985.964.541.890
1779;carpino nero;Ostrya carpinifolia;27;;1;;12.293.351.863.910.100;5.687.996.048.455.760
1781;bagolaro;Celtis australis;43;;1;;12.293.255.949.614.500;5.688.026.432.933.640
1780;Frassino;Fraxinus;36;;1;;12.293.228.659.495.500;5.688.010.972.954.630
1782;Frassino;Fraxinus;25;;1;;1.229.323.586.884.120;56.880.294.632.631.400
1783;Bagolaro orientale;Celtis orientalis;23;;1;;12.293.212.186.649.000;5.688.035.735.460.170
1784;Bagolaro orientale;Celtis orientalis;35;;1;;12.293.192.731.425.500;5.688.041.236.253.200
1785;bagolaro;Celtis australis;25;;1;;12.293.145.757.641.000;5.688.052.828.877.210
1786;Acero americano;acer negundo;37;;1;;12.293.141.904.032.400;56.880.600.647.232.000
1789;Frassino;Fraxinus;24;;1;;12.293.438.800.324.800;5.687.997.569.935.220
1788;Carpino bianco;carpinus betulus;29;;1;;12.293.457.136.985.400;5.687.992.642.486.490
1777;acero campestre;Acer campestre;38;;1;;12.293.466.923.466.800;5.687.988.877.780.300
1775;Bagolaro orientale;Celtis orientalis;28;;1;;12.293.483.740.712.600;5.687.982.940.038.880
1790;carpino nero;Ostrya carpinifolia;37;;1;;12.293.532.643.530.600;5.687.983.956.305.790
1773;carpino nero;Ostrya carpinifolia;19;;1;;12.293.603.825.794.800;5.687.983.140.969.420
1772;Bagolaro orientale;Celtis orientalis;47;;1;;12.293.505.469.026.100;5.687.981.426.774.310
1771;bagolaro;Celtis australis;21;;1;;1.229.353.825.683.650;5.687.978.680.986.770
1774;Bagolaro orientale;Celtis orientalis;32;;1;;1.229.360.534.046.890;5.687.979.143.812.490
1791;Bagolaro orientale;Celtis orientalis;16;;1;;1.229.361.706.905.680;5.687.975.564.315.570
1768;Bagolaro orientale;Celtis orientalis;28;;1;;12.293.608.043.287.300;568.797.235.466.231
1767;Frassino;Fraxinus;26;;1;;1.229.361.364.049.990;5.687.967.016.005.080
1792;Bagolaro orientale;Celtis orientalis;18;;1;;12.293.626.345.770.400;568.793.985.464.239
1766;Bagolaro orientale;Celtis orientalis;19;;1;;12.293.621.552.612.200;5.687.933.401.559.600
1831;bagolaro;Celtis australis;38;;1;;12.293.445.713.543.900;5.687.920.095.252.680
1765;robinia;Robinia pseudoacacia;46;;1;;12.293.603.078.382.400;5.687.927.807.370.240
1764;Carpino bianco;carpinus betulus;26;;1;;12.293.583.988.872.300;5.687.922.278.137.840
1787;Tiglio;Tilia cordata;33;;1;;12.293.163.725.298.400;5.688.063.907.351.010
1689;Bagolaro orientale;Celtis orientalis;54;;1;;12.293.324.732.772.000;5.688.128.404.634.190
1659;Bagolaro orientale;Celtis orientalis;46;;1;;12.293.534.284.498.700;5.688.097.698.401.110
1690;Bagolaro orientale;Celtis orientalis;40;;1;;12.293.260.847.217.700;56.881.305.958.675
1698;Tiglio;Tilia cordata;20;;1;;12.293.190.662.054.200;568.811.289.975.281
1701;Sophora;Sophora japonica;59;;1;Abbattimento;12.293.088.886.029.600;5.688.105.172.482.820
1702;Bagolaro orientale;Celtis orientalis;24;;1;;12.293.065.719.552.600;5.688.098.512.566.570
1703;Robinia;Robinia pseudoacacia;39;;1;Abbattimento;12.293.104.426.299.400;56.880.916.949.408
1706;Bagolaro orientale;Celtis orientalis;58;;1;;12.293.130.313.332.700;5.688.084.149.360.250
1705;Carpino bianco;carpinus betulus;32;;1;;12.293.036.679.793.400;5.688.083.627.395.140
1704;Bagolaro orientale;Celtis orientalis;23;;1;;12.293.046.018.257.300;5.688.088.072.331.170
1699;Frassino;Fraxinus;20;;1;;12.293.143.901.274.300;5.688.112.860.484.040
1700;acero campestre;Acer campestre;22;;2;;12.293.091.584.344.200;5.688.110.838.699.050
1696;Bagolaro orientale;Celtis orientalis;18;;1;;1.229.312.668.256.870;5.688.117.214.662.810
1692;Bagolaro orientale;Celtis orientalis;24;;1;;12.293.257.645.757.500;5.688.125.438.015.220
1693;Bagolaro orientale;Celtis orientalis;22;;1;;12.293.241.370.195.300;5.688.121.042.440.260
1691;Bagolaro orientale;Celtis orientalis;27;;1;;12.293.196.686.677.800;5.688.129.206.449.830
1694;Bagolaro orientale;Celtis orientalis;23;;1;;12.293.177.007.949.300;5.688.126.340.826.610
1695;Bagolaro orientale;Celtis orientalis;29;;1;;12.293.165.815.395.000;5.688.122.059.065.910
1740;carpino nero;Ostrya carpinifolia;51;;1;;1.229.344.882.931.450;5.688.057.127.171.960
1707;Bagolaro orientale;Celtis orientalis;30;;1;;1.229.327.254.067.630;5.688.114.402.467.860
1708;Bagolaro orientale;Celtis orientalis;32;;1;;12.293.356.511.631.000;5.688.114.188.404.050
1709;Bagolaro orientale;Celtis orientalis;18;;1;;1.229.332.958.312.750;5.688.110.136.926.430
1710;Bagolaro orientale;Celtis orientalis;16;;2;;12.293.365.598.140.600;5.688.105.164.351.050
1711;Bagolaro orientale;Celtis orientalis;24;;1;;12.293.324.174.743.100;5.688.103.748.675.290
1712;Bagolaro orientale;Celtis orientalis;20;;1;;1.229.325.976.574.640;5.688.101.377.409.140
1713;bagolaro;Celtis australis;42;;1;;12.293.275.898.095.300;5.688.097.723.255.790
1717;robinia;Robinia pseudoacacia;58;;1;;1.229.337.961.178.300;5.688.100.628.184.810
1716;Frassino;Fraxinus;34;;1;;1.229.336.038.795.920;568.809.706.416.402
1715;Frassino;Fraxinus;24;;1;;1.229.333.726.370.330;5.688.093.066.382.530
1714;Bagolaro orientale;Celtis orientalis;44;;1;;12.293.311.758.408.100;5.688.089.645.149.670
1656;Sophora;Sophora japonica;71;;1;;12.293.535.721.218.600;5.688.075.559.379.890
1718;Bagolaro orientale;Celtis orientalis;29;;1;;1.229.342.667.818.260;5.688.076.928.457.680
1719;carpino nero;Ostrya carpinifolia;28;;1;;12.293.378.706.415.200;5.688.072.106.623.550
1720;Bagolaro orientale;Celtis orientalis;36;;1;;1.229.338.378.474.940;5.688.067.212.935.290
1721;Frassino;Fraxinus;21;;2;;12.293.447.603.514.900;5.688.067.077.198.710
1722;robinia;Robinia pseudoacacia;37;;1;;12.293.307.348.134.700;5.688.064.745.571.950
1723;acero campestre;Acer campestre;26;;1;;12.293.321.944.980.700;5.688.060.017.781.610
1737;Carpino nero;Ostrya carpinifolia;27;;2;Abbattimento;1.229.341.630.589.310;5.688.060.918.178.220
1724;carpino nero;Ostrya carpinifolia;23;;1;;12.293.344.476.735.100;5.688.054.192.200.640
1741;bagolaro;Celtis australis;34;;1;;12.293.507.086.256.000;5.688.044.921.609.380
1739;Carpino bianco;carpinus betulus;31;;1;;12.293.373.284.216.200;5.688.050.695.910.470
1736;Bagolaro orientale;Celtis orientalis;17;;2;;1.229.351.399.739.870;56.880.425.406.882.100
1735;Bagolaro orientale;Celtis orientalis;20;;2;;12.293.490.724.171.800;568.803.296.534.479
1646;Bagolaro orientale;Celtis orientalis;36;;1;;1.229.357.054.463.180;5.688.039.558.967.300
1648;Bagolaro orientale;Celtis orientalis;34;;2;;12.293.584.683.409.100;5.688.047.460.605.630
1654;robinia;Robinia pseudoacacia;36;;1;;12.293.540.543.479.700;5.688.065.038.478.060
1725;Sophora;Sophora japonica;68;;1;;12.293.232.565.017.300;5.688.061.323.194.660
1726;bagolaro;Celtis australis;20;;2;;12.293.225.647.651.900;568.805.646.009.194
1727;Tiglio;Tilia cordata;37;;1;;12.293.281.346.845.800;568.805.188.107.442
1728;Bagolaro orientale;Celtis orientalis;33;;1;;12.293.232.722.136.000;5.688.049.469.582.430
1729;Bagolaro orientale;Celtis orientalis;29;;1;;12.293.231.176.446.200;5.688.045.860.514.660
1730;Bagolaro orientale;Celtis orientalis;16;;2;;12.293.255.468.211.200;5.688.041.995.426.340
1731;bagolaro;Celtis australis;22;;1;;12.293.271.568.378.800;5.688.038.214.607.020
1732;carpino nero;Ostrya carpinifolia;16;;3;;12.293.281.435.189.800;5.688.034.766.609.170
1733;Bagolaro orientale;Celtis orientalis;32;;1;;12.293.327.728.069.000;56.880.304.651.222.000
1742;Bagolaro orientale;Celtis orientalis;34;;1;;1.229.344.123.679.770;56.880.396.202.688.900
1734;bagolaro;Celtis australis;27;;1;;12.293.361.365.194.600;5.688.038.556.167.620
1660;carpino nero;Ostrya carpinifolia;20;;1;;12.293.569.240.506.400;5.688.101.863.062.570
1662;carpino nero;Ostrya carpinifolia;23;;2;;12.293.631.411.042.600;568.810.372.006.758
1661;Bagolaro orientale;Celtis orientalis;26;;1;;12.293.697.719.516.500;5.688.104.918.674.200
1669;Bagolaro orientale;Celtis orientalis;46;;1;;12.293.410.487.237.800;5.688.120.911.316.240
1668;robinia;Robinia pseudoacacia;35;;1;;12.293.446.228.249.800;56.881.118.943.390.700
1666;robinia;Robinia pseudoacacia;40;;1;;12.293.531.506.237.500;5.688.114.340.286.840
1667;Frassino;Fraxinus;19;;1;;12.293.506.192.103.200;5.688.122.034.996.910
1665;robinia;Robinia pseudoacacia;31;;1;;12.293.610.015.271.600;5.688.118.387.105.700
1664;Bagolaro orientale;Celtis orientalis;32;;1;;12.293.648.288.647.100;56.881.193.692.651.400
1670;Bagolaro orientale;Celtis orientalis;23;;1;;12.293.574.431.947.400;5.688.130.858.870.850
1688;Bagolaro orientale;Celtis orientalis;30;;1;;1.229.336.366.221.530;5.688.137.154.845.820
1687;Bagolaro orientale;Celtis orientalis;33;;1;;12.293.345.037.569.200;568.814.576.829.552
1686;Bagolaro orientale;Celtis orientalis;44;;1;;1.229.340.045.105.980;5.688.152.105.498.190
1685;Carpino bianco;carpinus betulus;22;;2;;12.293.442.722.042.000;5.688.157.540.427.480
1684;Bagolaro orientale;Celtis orientalis;30;;1;;12.293.541.768.949.900;5.688.160.527.148.750
1683;Bagolaro orientale;Celtis orientalis;25;;1;;12.293.605.677.186.300;5.688.166.410.792.280
1682;Bagolaro orientale;Celtis orientalis;37;;1;;12.293.440.947.878.100;56.881.413.872.619.400
1681;Bagolaro orientale;Celtis orientalis;35;;1;;12.293.590.886.314.100;5.688.178.829.611.400
1680;Bagolaro orientale;Celtis orientalis;42;;1;;1.229.347.572.871.090;5.688.150.529.093.030
1679;Bagolaro orientale;Celtis orientalis;39;;1;;12.293.645.324.661.600;5.688.161.486.837.180
1678;Bagolaro orientale;Celtis orientalis;33;;1;;12.293.615.388.052.600;5.688.156.596.331.830
1677;Bagolaro orientale;Celtis orientalis;19;;2;;12.293.599.092.415.200;5.688.151.743.032.370
1676;Bagolaro orientale;Celtis orientalis;22;;1;;12.293.665.030.435.900;56.881.543.102.702.400
1672;Bagolaro orientale;Celtis orientalis;43;;1;;12.293.650.284.468.500;56.881.470.775.829.900
1675;Bagolaro orientale;Celtis orientalis;20;;1;;12.293.702.405.713.100;5.688.146.080.894.990
1674;robinia;Robinia pseudoacacia;50;;1;;12.293.703.026.145.900;56.881.400.327.450.300
1673;Bagolaro orientale;Celtis orientalis;26;;1;;1.229.366.540.317.950;5.688.135.953.662.690
1663;Bagolaro orientale;Celtis orientalis;34;;1;;12.293.696.995.194.000;5.688.116.221.804.130
1555;bagolaro;Celtis australis;78;;1;;12.294.035.218.261.300;568.770.960.182.778
1658;carpino nero;Ostrya carpinifolia;41;;1;;12.293.585.090.430.200;5.688.086.544.353.220
1657;carpino nero;Ostrya carpinifolia;33;;1;;1.229.367.531.595.060;5.688.084.327.473.380
1653;Frassino;Fraxinus;38;;1;;12.293.573.841.492.300;5.688.069.856.211.010
1565;Bagolaro orientale;Celtis orientalis;18;;2;;12.294.095.905.125.400;5.687.736.322.556.090
1600;Olmo;Ulmus minor;20;;2;;12.293.906.651.110.100;5.687.872.694.254.020
