id;Nome_comune;Nome_scientifico;diametro;multifusto;altezza;stato;Lat;Lon
1241;Olmo;Ulmus minor;63;;1;;1.229.261.711.813.570;5.687.746.624.765.500
1242;Platano;Picea abies;73;;1;;12.292.499.548.655.000;5.687.747.114.827.410
1243;carpino nero;Ostrya carpinifolia;25;;2;;12.292.427.934.668.900;5.687.747.297.314.260
1240;Carpino bianco;carpinus betulus;36;;2;;12.292.605.594.335.900;56.877.498.443.139.700
1236;Carpino bianco;carpinus betulus;43;;2;;1.229.264.490.567.620;5.687.751.410.646.870
1237;Carpino bianco;carpinus betulus;46;;2;;12.292.660.938.775.000;5.687.749.131.898.420
1233;Carpino bianco;carpinus betulus;37;;2;;12.292.712.838.436.100;5.687.749.809.083.710
1234;Frassino;Fraxinus;35;;2;;12.292.712.275.396.100;5.687.751.334.188.020
1232;Carpino bianco;carpinus betulus;36;;1;;12.292.746.249.377.700;5.687.752.437.972.140
1231;Carpino bianco;carpinus betulus;70;;1;;122.927.336.201.854;5.687.747.542.039.850
1228;Tiglio;Tilia cordata;15;;2;;12.292.756.223.845.800;5.687.748.722.415.030
1227;Tiglio;Tilia cordata;25;;2;;1.229.275.716.793.590;5.687.750.576.980.910
1226;Tiglio;Tilia cordata;21;;2;;12.292.807.420.351.200;5.687.748.496.708.240
1260;Sophora;Sophora japonica;18;;3;;12.292.079.620.161.000;5.687.818.630.968.450
1261;Tiglio;Tilia cordata;68;;1;;12.292.113.243.398.800;5.687.823.973.417.500
1283;bagolaro;Celtis australis;36;;2;;1.229.222.214.164.290;568.781.922.014.241
1378;bagolaro;Celtis australis;20;;1;;12.292.712.754.216.700;5.687.792.591.176.660
1390;bagolaro;Celtis australis;13;;2;;12.293.025.958.885.400;5.687.773.794.510.990
1360;bagolaro;Celtis australis;24;;1;;1.229.235.609.324.700;5.687.778.453.760.320
1347;Olmo;Ulmus minor;19;;2;;12.292.942.716.026.200;5.687.759.912.712.590
1348;bagolaro;Celtis australis;12;2F;2;;1.229.289.409.118.590;568.776.279.829.778
1346;Olmo;Ulmus minor;14;;2;;12.292.882.991.510.100;5.687.756.446.215.220
1349;Olmo;Ulmus minor;39;;1;;12.292.847.339.282.000;5.687.765.583.878.290
1350;Olmo;Ulmus minor;25;;1;;12.292.810.265.419.800;5.687.769.106.628.060
1351;Olmo;Ulmus minor;24;;1;;12.292.779.807.159.500;568.777.251.728.781
1345;Olmo;Ulmus minor;15;;2;;12.292.843.788.534.100;5.687.755.308.147.960
1344;Carpino nero;Ostrya carpinifolia;18;;2;Abbattimento;122.928.107.015.885;5.687.759.582.567.980
1341;Tiglio;Tilia cordata;28;;2;;12.292.691.617.760.100;5.687.772.837.269.560
1342;bagolaro;Celtis australis;13;;2;;12.292.688.540.138.700;5.687.768.178.864.850
1343;bagolaro;Celtis australis;80;;1;;12.292.854.918.020.800;5.687.771.250.649.050
1352;bagolaro;Celtis australis;23;;2;;12.292.650.758.596.000;5.687.772.655.708.160
1353;bagolaro;Celtis australis;23;;2;;12.292.618.508.499.800;568.777.273.789.442
1340;bagolaro;Celtis australis;14;;2;;12.292.641.282.198.500;5.687.768.965.905.410
1339;corniolo;Cornus mas;15;;3;;12.292.654.498.286.000;5.687.764.932.585.810
1338;bagolaro;Celtis australis;13;;1;;1.229.268.969.922.510;5.687.761.509.846.680
1337;bagolaro;Celtis australis;41;;1;;12.292.859.181.487.800;5.687.758.471.819.180
1336;Tiglio;Tilia cordata;19;;1;;1.229.273.767.360.390;5.687.756.054.736.690
1354;bagolaro;Celtis australis;23;;2;;12.292.608.414.659.000;5.687.762.859.747.180
1335;bagolaro;Celtis australis;23;;1;;12.292.574.243.443.100;5.687.762.851.598.010
1332;bagolaro;Celtis australis;21;;1;;1.229.259.378.607.320;5.687.757.564.177.430
1334;bagolaro;Celtis australis;19;;1;;1.229.253.518.502.270;5.687.762.284.524.750
1355;Frassino;Fraxinus;30;;1;;12.292.547.064.353.200;5.687.767.968.022.250
1356;Frassino;Fraxinus;36;;1;;12.292.488.535.483.400;568.777.297.387.672
1361;bagolaro;Celtis australis;24;;1;;12.292.476.147.388.600;5.687.776.528.939.450
1357;corniolo;Cornus mas;15;;3;;12.292.440.690.321.200;5.687.775.190.847.300
1333;bagolaro;Celtis australis;32;;1;;12.292.446.101.436.900;568.777.032.035.054
1330;Tiglio;Tilia cordata;12;;1;;1.229.244.956.122.300;5.687.757.741.242.850
1331;Tiglio;Tilia cordata;15;;1;;1.229.253.612.740.160;5.687.754.758.998.890
1358;Frassino;Fraxinus;15;;2;;1.229.233.912.506.020;5.687.775.163.959.970
1327;Tiglio;Tilia cordata;43;;1;;12.292.364.407.226.800;5.687.770.052.371.550
1328;Frassino;Fraxinus;25;;1;Abbattimento;12.292.365.172.081.700;5.687.765.574.635.140
1329;Frassino;Fraxinus;28;;1;Abbattimento;1.229.234.543.963.870;5.687.758.863.623.350
1359;bagolaro;Celtis australis;26;;1;;12.292.321.401.065.900;5.687.772.637.923.020
1366;bagolaro;Celtis australis;42;;1;;12.292.254.223.882.600;5.687.773.475.698.490
1326;Frassino;Fraxinus;19;;1;;12.292.292.987.320.600;56.877.653.776.481.700
1363;Frassino;Fraxinus;19;;1;;12.292.227.409.098.300;5.687.768.782.543.740
1364;bagolaro;Celtis australis;20;;1;;12.292.254.949.700.600;568.776.509.364.994
1362;bagolaro;Celtis australis;18;;1;;12.292.251.212.837.600;5.687.761.579.680.840
1325;acero campestre;Acer campestre;27;;1;;12.292.273.471.728.400;5.687.759.523.147.250
1324;Bagolaro orientale;Celtis orientalis;21;;1;;12.292.282.258.468.500;5.687.756.739.105.500
1365;Frassino;Fraxinus;18;;2;;12.292.143.143.398.000;5.687.765.854.670.140
1321;Tiglio;Tilia cordata;26;;1;;12.292.169.590.970.800;5.687.761.597.188.290
1322;Frassino;Fraxinus;12;;1;;12.292.164.977.874.100;5.687.758.371.141
1323;bagolaro;Celtis australis;14;;1;;12.292.210.492.376.700;5.687.754.445.998.680
1320;Frassino;Fraxinus;23;;1;;12.292.125.943.581.700;5.687.757.899.218.040
1315;bagolaro;Celtis australis;38;;1;;12.292.335.325.254.700;568.778.454.695.621
1316;Frassino;Fraxinus;15;;3;;12.292.106.945.522.900;5.687.769.089.470.250
1317;bagolaro;Celtis australis;18;;2;;12.292.060.106.151.500;5.687.767.780.364.100
1318;Tiglio;Tilia cordata;25;;2;;122.920.389.104.139;56.877.627.872.022
1319;Tiglio;Tilia cordata;61;;1;;12.292.145.533.392.000;5.687.749.443.335.440
1292;Frassino;Fraxinus;17;;3;;12.291.983.134.051.200;5.687.756.168.013.850
1301;Tiglio;Tilia cordata;21;;2;;12.291.951.287.787.800;5.687.750.344.926.210
1291;Olmo;Ulmus minor;25;;1;;12.291.949.203.706.300;5.687.757.111.521.090
1300;bagolaro;Celtis australis;26;;2;;12.291.921.151.582.500;5.687.751.278.765.700
1302;Frassino;Fraxinus;33;;2;;12.291.977.376.294.300;5.687.763.420.119.820
1290;bagolaro;Celtis australis;23;;2;;122.918.950.615.677;5.687.768.200.842.390
1289;bagolaro;Celtis australis;28;;2;;12.291.898.524.133.600;5.687.774.381.942.550
1288;corniolo;Cornus mas;15;;3;;12.291.936.913.844.700;5.687.779.807.458.220
1303;Frassino;Fraxinus;18;2F;2;;12.292.010.273.213.100;5.687.777.144.593.240
1280;bagolaro;Celtis australis;30;;2;;1.229.187.107.044.820;5.687.782.165.482.790
1279;bagolaro;Celtis australis;28;;2;;12.291.820.922.291.100;5.687.771.532.289.310
1278;Tiglio;Tilia cordata;23;;2;;12.291.803.602.328.700;5.687.763.100.984.710
1299;Frassino;Fraxinus;24;;3;;12.291.848.933.598.500;5.687.754.700.543.610
1298;Tiglio;Tilia cordata;50;;1;;12.291.805.388.246.100;5.687.758.906.339.340
1264;bagolaro;Celtis australis;29;;2;;1.229.176.091.083.680;5.687.785.683.922.140
1266;bagolaro;Celtis australis;22;;2;;12.291.767.602.515.300;5.687.774.620.236.210
1267;bagolaro;Celtis australis;23;;2;;12.291.764.775.491.300;5.687.767.199.532.720
1265;bagolaro;Celtis australis;21;;2;;12.291.730.504.099.100;5.687.778.047.777.480
1296;Olmo;Ulmus minor;31;;1;;12.292.024.650.961.800;5.687.745.150.267.820
1297;Olmo;Ulmus minor;26;;1;;1.229.174.773.529.100;5.687.763.624.220.390
1295;Frassino;Fraxinus;17;;2;;12.291.669.570.370.200;568.776.229.966.324
1294;Tiglio;Tilia cordata;20;;2;;12.291.646.916.683.100;5.687.766.547.466.420
1293;bagolaro;Celtis australis;24;;1;;12.291.692.027.504.800;5.687.768.527.604.140
1277;Frassino;Fraxinus;12;;2;;12.291.624.672.364.300;5.687.772.413.130.840
1276;Sophora;Sophora japonica;16;2F;2;;12.291.758.755.365.300;5.687.753.670.053.700
1275;acero campestre;Acer campestre;16;;2;;12.291.725.031.142.800;5.687.753.340.798.530
1274;acero campestre;Acer campestre;20;;2;;12.291.694.734.508.100;5.687.753.987.874.100
1270;acero campestre;Acer campestre;21;;2;;122.915.725.465.409;5.687.774.593.343.760
1268;acero campestre;Acer campestre;21;;2;;12.291.585.443.378.700;5.687.776.798.388.130
1269;Olmo;Ulmus minor;27;;2;;12.291.567.782.466.000;5.687.778.271.818.100
1273;acero campestre;Acer campestre;25;;2;;12.291.663.215.171.600;5.687.754.112.999.230
1272;acero campestre;Acer campestre;17;;2;;12.291.624.230.976.700;568.775.186.090.819
1271;acero campestre;Acer campestre;21;;2;;12.291.588.105.688.200;5.687.753.565.793.820
1250;Noce nero;Juglans nigra;18;;3;;12.291.523.427.076.600;5.687.756.680.050.290
1251;Tasso;Taxus baccata;37;;1;;12.291.556.323.562.700;5.687.758.253.308.740
1249;Noce nero;Juglans nigra;16;;2;;1.229.149.840.106.850;5.687.761.090.928.740
1248;Bagolaro orientale;Celtis orientalis;15;;3;;12.291.472.161.516.200;5.687.764.219.301.710
1246;Bagolaro orientale;Celtis orientalis;15;;3;;1.229.141.977.054.830;56.877.710.110.018.600
1252;Bagolaro orientale;Celtis orientalis;20;;2;;1.229.168.253.156.020;5.687.771.589.974.270
1253;Sophora;Sophora japonica;20;;2;;12.291.743.021.157.200;5.687.771.574.635.130
1245;gelso;Morus nigra;20;;3;;12.291.490.318.042.400;56.877.872.183.603.600
1254;Sophora;Sophora japonica;14;3F;2;;12.291.617.360.178.700;5.687.769.611.829.520
1255;bagolaro;Celtis australis;38;;2;;12.291.654.340.949.200;5.687.776.156.488.620
1256;Tiglio;Tilia cordata;13;;1;;12.291.683.532.791.800;5.687.781.554.577.690
1257;Leccio;Quercus ilex;15;;3;;12.291.699.617.211.900;5.687.788.141.532.420
1259;Tiglio;Tilia cordata;38;;2;;12.291.938.275.524.300;5.687.798.314.270.780
1258;bagolaro;Celtis australis;70;;1;;12.291.824.668.036.500;5.687.799.460.762.280
1554;Sophora;Sophora japonica;45;;1;;12.291.833.580.945.700;5.687.804.675.700.050
1263;Tiglio;Tilia cordata;14;;2;;1.229.185.477.473.950;5.687.790.908.612.000
1281;corniolo;Cornus mas;26;;3;;12.291.939.083.101.600;5.687.786.503.721.020
1287;bagolaro;Celtis australis;27;;2;;12.292.048.718.499.300;5.687.788.414.687.680
1282;Tiglio;Tilia cordata;45;;1;;12.292.237.668.903.900;5.687.797.138.616.020
1286;bagolaro;Celtis australis;29;;2;;12.292.079.992.663.900;5.687.799.476.894.630
1262;acero campestre;Acer campestre;20;;2;;1.229.214.194.817.330;568.781.550.813.242
1285;acero campestre;Acer campestre;16;;2;;1.229.218.892.646.040;5.687.809.865.097.360
1284;Ippocastano;Aesculus  hippocastanum;45;;1;;12.292.273.159.429.700;568.781.641.180.486
1304;Frassino;Fraxinus;19;;2;;12.292.161.560.854.800;5.687.791.745.917.390
1305;bagolaro;Celtis australis;29;;2;;12.292.219.114.207.400;5.687.797.884.443.480
1306;acero campestre;Acer campestre;18;;3;;12.292.294.954.795.600;5.687.805.023.903.020
1307;Tiglio;Tilia cordata;20;;2;;12.292.303.259.789.200;56.878.003.364.770.300
1308;acero campestre;Acer campestre;15;;2;;12.292.356.425.945.900;5.687.800.391.465.860
1309;bagolaro;Celtis australis;21;;2;;12.292.428.222.603.800;5.687.810.302.888.920
1368;bagolaro;Celtis australis;24;;2;;12.292.451.141.019.000;56.878.071.018.999.200
1311;Tiglio;Tilia cordata;19;;2;;12.292.334.955.932.100;5.687.798.065.426.930
1313;Tiglio;Tilia cordata;16;;2;;12.292.253.978.205.000;5.687.793.129.350.620
1310;Tiglio;Tilia cordata;25;;2;;12.292.437.147.805.800;5.687.800.566.694.270
1312;bagolaro;Celtis australis;29;;2;;12.292.421.618.899.300;5.687.795.463.853.400
1314;Tiglio;Tilia cordata;23;;2;;12.292.387.022.966.800;5.687.790.028.681.600
1367;bagolaro;Celtis australis;23;;1;;12.292.305.843.509.200;5.687.788.045.249.610
1369;bagolaro;Celtis australis;52;;1;;12.292.534.621.146.700;56.878.031.752.047.400
1372;Frassino;Fraxinus;13;;2;;1.229.245.088.184.730;568.778.358.079.702
1370;acero campestre;Acer campestre;30;;2;;12.292.614.990.578.800;5.687.798.208.902.390
1371;Tiglio;Tilia cordata;10;;2;;12.292.624.340.302.700;5.687.793.899.733.780
1373;Frassino;Fraxinus;14;;2;;12.292.589.021.494.800;5.687.785.609.521.220
1374;bagolaro;Celtis australis;11;;2;;12.292.574.826.533.200;5.687.782.026.966.700
1376;Olmo;Ulmus minor;28;;1;;12.292.657.041.977.100;5.687.788.102.610.400
1377;bagolaro;Celtis australis;17;;1;;1.229.270.174.353.350;5.687.788.464.839.050
1375;Tiglio;Tilia cordata;23;;2;;12.292.667.734.602.900;5.687.781.599.741.270
1379;bagolaro;Celtis australis;15;;2;;12.292.769.041.248.300;5.687.788.102.869.940
1380;Tiglio;Tilia cordata;24;;1;;12.292.753.488.084.200;5.687.782.904.874.030
1381;bagolaro;Celtis australis;20;;1;;12.292.815.022.272.000;568.778.227.190.121
1382;Frassino;Fraxinus;21;;1;;1.229.273.141.567.710;5.687.778.199.643.380
1383;acero campestre;Acer campestre;18;;2;;1.229.283.896.129.450;5.687.779.353.999.950
1384;acero campestre;Acer campestre;12;;2;;12.292.864.339.563.600;5.687.774.623.068.400
1385;bagolaro;Celtis australis;12;;2;;12.292.901.847.141.000;5.687.772.813.340.990
1386;bagolaro;Celtis australis;18;;1;;1.229.295.060.781.000;5.687.774.212.736.460
1387;Tiglio;Tilia cordata;33;;1;;12.292.894.060.527.800;5.687.780.357.030.280
1388;bagolaro;Celtis australis;27;;1;;12.292.975.850.216.400;5.687.765.196.822.470
1389;acero campestre;Acer campestre;16;;2;;1.229.301.928.988.200;5.687.764.324.267.160
1127;Bagolaro orientale;Celtis orientalis;25;;1;;12.293.959.568.001.500;5.687.646.850.289.460
1470;Bagolaro orientale;Celtis orientalis;22;;1;;12.293.360.658.136.000;5.687.678.315.814.400
1471;bagolaro;Celtis australis;28;;2;;12.293.383.292.277.200;5.687.685.150.958.980
1473;bagolaro;Celtis australis;15;;1;;1.229.339.317.868.510;568.767.876.577.949
1472;bagolaro;Celtis australis;17;;2;;12.293.457.536.474.600;5.687.683.892.715.470
1474;Olmo;Ulmus minor;26;;1;;12.293.515.463.319.000;5.687.681.546.562.540
1475;Spino di Giuda;Gleditsia triacanthos;18;;1;;12.293.501.453.704.300;5.687.677.154.235.910
1476;bagolaro;Celtis australis;24;;1;;12.293.511.039.591.700;5.687.673.508.685.310
1477;bagolaro;Celtis australis;30;;1;;12.293.617.368.676.100;5.687.680.593.539.040
1478;bagolaro;Celtis australis;33;;1;;1.229.364.721.877.000;5.687.678.210.077.210
1479;bagolaro;Celtis australis;33;;1;;1.229.368.569.796.990;5.687.676.863.138.380
1481;bagolaro;Celtis australis;41;;1;;12.293.753.691.672.100;5.687.670.290.619.750
1482;Bagolaro orientale;Celtis orientalis;33;;1;;12.293.813.444.067.600;56.876.713.049.913
1483;bagolaro;Celtis australis;31;;1;;12.293.859.551.453.400;56.876.701.988.769
1486;Bagolaro orientale;Celtis orientalis;45;;1;;12.293.937.363.095.800;568.766.165.118.648
1485;bagolaro;Celtis australis;31;;1;;12.293.837.491.270.800;5.687.660.859.958.330
1491;Bagolaro orientale;Celtis orientalis;24;;1;;12.293.973.840.948.500;5.687.653.784.148.100
1489;Bagolaro orientale;Celtis orientalis;22;;1;;12.294.008.637.920.600;5.687.657.247.528.650
1488;bagolaro;Celtis australis;39;;1;;12.293.983.574.832.900;568.766.467.255.528
1487;Bagolaro orientale;Celtis orientalis;42;;1;;1.229.393.439.927.460;5.687.668.661.782.550
1511;bagolaro;Celtis australis;39;;1;;12.294.002.698.476.300;5.687.670.249.986.710
1490;Bagolaro orientale;Celtis orientalis;24;;1;;12.294.052.806.390.400;5.687.650.627.904.840
1492;Bagolaro;Celtis australis;28;;1;;12.294.104.999.950.900;5.687.650.286.221.630
1493;acero campestre;Acer campestre;25;;1;;1.229.415.095.095.550;5.687.651.316.248.760
1494;Sophora;Sophora japonica;42;;1;;12.294.127.554.688.200;5.687.661.681.423.480
1495;Sophora;Sophora japonica;50;;1;;12.294.127.284.769.900;5.687.670.501.772.870
1497;Bagolaro orientale;Celtis orientalis;35;;1;;12.294.160.096.720.900;5.687.667.570.015.110
1504;acero campestre;Acer campestre;20;;1;;12.294.205.301.441.700;5.687.663.854.242.830
1505;bagolaro;Celtis australis;51;;1;;1.229.425.136.950.560;56.876.618.483.700.700
1498;Bagolaro orientale;Celtis orientalis;40;;1;;1.229.417.708.231.440;5.687.660.257.927.420
1499;Bagolaro orientale;Celtis orientalis;35;;1;;12.294.252.325.174.500;5.687.657.124.699.600
1501;acero campestre;Acer campestre;24;;1;;12.294.304.646.294.900;5.687.655.457.807.930
1502;bagolaro;Celtis australis;35;;1;;12.294.315.458.445.600;5.687.646.474.016.330
1500;bagolaro;Celtis australis;23;;1;;12.294.304.785.406.000;5.687.650.803.240.210
1503;Bagolaro orientale;Celtis orientalis;52;;1;;12.294.146.066.150.500;5.687.656.888.235.890
1518;bagolaro;Celtis australis;25;;1;;12.293.574.889.202.200;5.687.696.748.862.340
1519;bagolaro;Celtis australis;26;;1;;12.293.638.531.395.100;5.687.689.826.179.350
1480;Bagolaro orientale;Celtis orientalis;34;;1;;1.229.368.352.121.100;5.687.686.826.510.730
1517;Bagolaro orientale;Celtis orientalis;24;;1;;12.293.780.525.614.200;5.687.690.913.776.990
1516;bagolaro;Celtis australis;46;;1;;12.293.793.003.974.900;5.687.686.301.256.540
1515;bagolaro;Celtis australis;26;;1;;12.293.860.565.208.000;5.687.686.879.840.450
1514;Bagolaro orientale;Celtis orientalis;18;;1;;12.293.804.809.715.800;5.687.680.636.494.740
1513;bagolaro;Celtis australis;27;;1;;1.229.387.487.742.960;56.876.779.343.613.800
1512;Bagolaro orientale;Celtis orientalis;24;;1;;12.293.916.188.710.800;5.687.683.611.242.470
1484;bagolaro;Celtis australis;35;;1;;12.293.966.291.929.300;5.687.674.211.064.810
1508;Bagolaro orientale;Celtis orientalis;44;;1;;12.294.067.942.423.700;5.687.674.980.542.090
1507;Frassino;Fraxinus;32;;1;;1.229.411.708.265.410;5.687.674.528.264.270
1506;noce nero;Juglans nigra;18;;1;;1.229.410.645.768.200;5.687.672.835.763.240
1496;Bagolaro orientale;Celtis orientalis;27;;1;;12.294.110.120.444.200;5.687.671.227.003.400
1509;Bagolaro orientale;Celtis orientalis;26;;1;;1.229.404.531.718.870;5.687.679.139.013.280
1510;Frassino;Fraxinus;24;;1;;1.229.403.087.737.890;5.687.683.338.912.730
1520;Bagolaro orientale;Celtis orientalis;30;;1;;1.229.360.688.702.290;5.687.702.193.573.950
1521;bagolaro;Celtis australis;21;;1;;12.293.644.336.736.800;5.687.709.733.078.140
1522;bagolaro;Celtis australis;38;;1;;1.229.371.551.818.680;56.877.134.494.224.200
1537;Frassino;Fraxinus;28;;1;;1.229.373.039.786.310;5.687.702.358.919.190
1538;Frassino;Fraxinus;18;;2;;12.293.761.342.241.900;5.687.696.709.268.170
1535;Bagolaro orientale;Celtis orientalis;33;;1;;1.229.390.797.611.540;5.687.692.462.036.430
1534;Frassino;Fraxinus;42;;1;;12.293.983.990.391.600;5.687.700.239.060.670
1533;bagolaro;Celtis australis;12;;2;;12.293.963.074.789.600;56.877.108.145.988.600
1523;Frassino;Fraxinus;25;;1;Abbattimento;12.293.793.187.262.500;568.770.778.182.712
1536;bagolaro;Celtis australis;32;;1;;12.293.895.746.505.000;5.687.702.064.582.920
1532;bagolaro;Celtis australis;22;;1;;12.293.891.136.482.800;5.687.712.177.338.650
1531;Sophora;Sophora japonica;29;;1;;12.293.915.913.333.900;5.687.719.519.395.870
1524;bagolaro;Celtis australis;39;;1;;1.229.379.164.534.290;568.771.213.933.535
1525;bagolaro;Celtis australis;37;;1;;1.229.378.762.810.970;5.687.719.086.376.170
1526;Frassino;Fraxinus;42;;1;;12.293.841.196.883.600;5.687.728.618.933.820
1527;Frassino;Fraxinus;26;;1;;12.293.882.320.610.500;5.687.735.037.727.060
1529;Frassino;Fraxinus;25;;1;;1.229.394.130.652.630;5.687.739.694.394.980
1530;Frassino;Fraxinus;27;;1;;12.293.993.437.187.200;5.687.724.380.404.610
1462;Platano;platanus;160;;1;;12.293.296.443.239.800;5.687.693.867.235.020
1461;Platano;platanus;170;;1;;12.293.270.939.426.000;5.687.703.457.791.810
